Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[treatment]	Characteristics[treatment]	Characteristics[enrichment method]	Characteristics[enrichment process]	assay name	comment[label]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[enrichment process]	factor value[treatment]	factor value[treatment]
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	BRAF inhibitor dabrafenib	TIO2	enrichment of phosphorylated Protein	run 4	SILAC medium	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	2	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	cell	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	run 4	SILAC light	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	2	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	cell	enrichment of phosphorylated Protein	none	control
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	BRAF inhibitor dabrafenib	TIO2	enrichment of phosphorylated Protein	run 5	SILAC heavy	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	cell	enrichment of phosphorylated Protein	none	BRAF inhibitor dabrafenib
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	BRAF inhibitor dabrafenib	TIO2	enrichment of phosphorylated Protein	run 5	SILAC medium	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	cell	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	run 5	SILAC light	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	cell	enrichment of phosphorylated Protein	none	control
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	BRAF inhibitor dabrafenib	TIO2	enrichment of phosphorylated Protein	run 6	SILAC heavy	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	cell	enrichment of phosphorylated Protein	none	BRAF inhibitor dabrafenib
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	BRAF inhibitor dabrafenib	TIO2	enrichment of phosphorylated Protein	run 6	SILAC medium	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	cell	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	run 6	SILAC light	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	cell	enrichment of phosphorylated Protein	none	control
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	BRAF inhibitor dabrafenib	TIO2	enrichment of phosphorylated Protein	run 7	SILAC heavy	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	cell	enrichment of phosphorylated Protein	none	BRAF inhibitor dabrafenib
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	BRAF inhibitor dabrafenib	TIO2	enrichment of phosphorylated Protein	run 7	SILAC medium	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	cell	enrichment of phosphorylated Protein	control	BRAF inhibitor dabrafenib
Sample 1	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	run 7	SILAC light	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	cell	enrichment of phosphorylated Protein	none	control
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	run 8	SILAC heavy	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S01.raw	cell	enrichment of phosphorylated Protein	none	ERK inhibitor SCH772984
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	run 8	SILAC medium	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S01.raw	cell	enrichment of phosphorylated Protein	control	ERK inhibitor SCH772984
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	run 8	SILAC light	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S01.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S01.raw	cell	enrichment of phosphorylated Protein	none	control
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	run 9	SILAC heavy	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	cell	enrichment of phosphorylated Protein	none	ERK inhibitor SCH772984
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	control	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	run 9	SILAC medium	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	cell	enrichment of phosphorylated Protein	control	ERK inhibitor SCH772984
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	control	TIO2	enrichment of phosphorylated Protein	run 9	SILAC light	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	cell	enrichment of phosphorylated Protein	none	control
Sample 2	Homo sapiens	not applicable	54Y	not available	female	not available	malignant melanoma	epithelial	A375	none	ERK inhibitor SCH772984	TIO2	enrichment of phosphorylated Protein	run 10	SILAC heavy	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013923/20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	not available	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	cell	enrichment of phosphorylated Protein	none	ERK inhibitor SCH772984
