source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]	factor value[enrichment process]
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 11	Brain_Phosphorylation_o05809.RAW	11	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 12	Brain_Phosphorylation_o05810.RAW	12	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 13	Brain_Phosphorylation_o05811.RAW	13	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 14	Brain_Phosphorylation_o05813.RAW	14	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 15	Brain_Phosphorylation_o05814.RAW	15	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 16	Brain_Phosphorylation_o05815.RAW	16	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 17	Brain_Phosphorylation_o05816.RAW	17	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 18	Brain_Phosphorylation_o05817.RAW	18	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 19	Brain_Phosphorylation_o05820.RAW	19	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 20	Brain_Phosphorylation_o05821.RAW	20	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 21	Brain_Phosphorylation_o05822.RAW	21	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 22	Brain_Phosphorylation_o05823.RAW	22	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 23	Brain_Phosphorylation_o05824.RAW	23	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 24	Brain_Phosphorylation_o05826.RAW	24	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 25	Brain_Phosphorylation_o05827.RAW	25	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 26	Brain_Phosphorylation_o05828.RAW	26	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 27	Brain_Phosphorylation_o05829.RAW	27	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 28	Brain_Phosphorylation_o05830.RAW	28	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 29	BrownFat_Phosphorylation_o06180.RAW	1	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 30	BrownFat_Phosphorylation_o06181.RAW	2	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 31	BrownFat_Phosphorylation_o06182.RAW	3	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 32	BrownFat_Phosphorylation_o06183.RAW	4	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 33	BrownFat_Phosphorylation_o06185.RAW	5	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 34	BrownFat_Phosphorylation_o06186.RAW	6	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 35	BrownFat_Phosphorylation_o06187.RAW	7	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 36	BrownFat_Phosphorylation_o06188.RAW	8	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 37	BrownFat_Phosphorylation_o06189.RAW	9	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 38	BrownFat_Phosphorylation_o06191.RAW	10	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 39	BrownFat_Phosphorylation_o06192.RAW	11	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
Sample 2	Mus musculus	Swiss Webster	brown adipose tissue	brown adipose tissue	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 40	BrownFat_Phosphorylation_o06193.RAW	12	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brown adipose tissue	enrichment of phosphorylated Protein
