source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[enrichment process]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 8	Homo sapiens	distal fallopian tube epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	no enrichment	normal	not applicable	cell	run 11	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130603_QE3_UPLC9_CFR_SA_OC_P_FI_04.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	not aplicable	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130603_QE3_UPLC9_CFR_SA_OC_P_FI_04.raw
Sample 9	Homo sapiens	distal fallopian tube epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	no enrichment	normal	not applicable	cell	run 12	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130603_QE3_UPLC9_CFR_SA_OC_P_FI_05.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	not aplicable	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130603_QE3_UPLC9_CFR_SA_OC_P_FI_05.raw
Sample 10	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	no enrichment	normal	not applicable	cell	run 13	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130603_QE3_UPLC9_CFR_SA_OC_P_NO_02.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	not aplicable	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130603_QE3_UPLC9_CFR_SA_OC_P_NO_02.raw
Sample 11	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	no enrichment	normal	not applicable	cell	run 14	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130603_QE3_UPLC9_CFR_SA_OC_P_NO_03.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	not aplicable	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130603_QE3_UPLC9_CFR_SA_OC_P_NO_03.raw
Sample 12	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	no enrichment	normal	not applicable	cell	run 15	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130603_QE3_UPLC9_CFR_SA_OC_P_NO_04.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	not aplicable	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130603_QE3_UPLC9_CFR_SA_OC_P_NO_04.raw
Sample 13	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	no enrichment	normal	not applicable	cell	run 16	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130603_QE3_UPLC9_CFR_SA_OC_P_NO_05.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	not aplicable	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130603_QE3_UPLC9_CFR_SA_OC_P_NO_05.raw
Sample 14	Homo sapiens	ascites	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	high grade serous ovarian cancer	not applicable	cell	run 17	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130606_QE3_UPLC10_CFR_SA_OC_T_AS_03_02_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130606_QE3_UPLC10_CFR_SA_OC_T_AS_03_02_01.raw
Sample 14	Homo sapiens	ascites	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	high grade serous ovarian cancer	not applicable	cell	run 18	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130606_QE3_UPLC10_CFR_SA_OC_T_AS_03_03_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130606_QE3_UPLC10_CFR_SA_OC_T_AS_03_03_01.raw
Sample 15	Homo sapiens	ascites	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	high grade serous ovarian cancer	not applicable	cell	run 19	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130606_QE3_UPLC10_CFR_SA_OC_T_AS_04_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130606_QE3_UPLC10_CFR_SA_OC_T_AS_04_01_01.raw
Sample 16	Homo sapiens	ascites	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	high grade serous ovarian cancer	not applicable	cell	run 20	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130606_QE3_UPLC9_CFR_SA_OC_T_AS_01_02_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130606_QE3_UPLC9_CFR_SA_OC_T_AS_01_02_01.raw
Sample 16	Homo sapiens	ascites	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	high grade serous ovarian cancer	not applicable	cell	run 21	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130606_QE3_UPLC9_CFR_SA_OC_T_AS_01_03_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130606_QE3_UPLC9_CFR_SA_OC_T_AS_01_03_01.raw
Sample 17	Homo sapiens	ascites	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	high grade serous ovarian cancer	not applicable	cell	run 22	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130608_QE3_UPLC10_CFR_SA_OC_T_AS_06_02_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130608_QE3_UPLC10_CFR_SA_OC_T_AS_06_02_01.raw
Sample 17	Homo sapiens	ascites	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	high grade serous ovarian cancer	not applicable	cell	run 23	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130608_QE3_UPLC10_CFR_SA_OC_T_AS_06_03_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130608_QE3_UPLC10_CFR_SA_OC_T_AS_06_03_01.raw
Sample 18	Homo sapiens	distal fallopian tube epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 24	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_FI_01_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_FI_01_01_01.raw
Sample 19	Homo sapiens	distal fallopian tube epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 25	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_FI_02_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_FI_02_01_01.raw
Sample 20	Homo sapiens	distal fallopian tube epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 26	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_FI_03_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_FI_03_01_01.raw
