Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[infect]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[enrichment process]	factor value[proteomics data acquisition method]
Sample 11	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 11	proteomic profiling by mass spectrometry	LP1_03_AB_DIA_141.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_03_AB_DIA_141.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 12	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 12	proteomic profiling by mass spectrometry	LP1_04_AB_DIA_143.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_04_AB_DIA_143.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 13	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 13	proteomic profiling by mass spectrometry	LP1_05_AB_DIA_144.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_05_AB_DIA_144.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 14	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 14	proteomic profiling by mass spectrometry	LP1_06_AB_DIA_145.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_06_AB_DIA_145.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 15	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 15	proteomic profiling by mass spectrometry	LP1_07_AB_DIA_143.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_07_AB_DIA_143.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 16	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 16	proteomic profiling by mass spectrometry	LP1_08_AB_DIA_144.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_08_AB_DIA_144.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 17	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 17	proteomic profiling by mass spectrometry	LP1_09_AB_DIA_145.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_09_AB_DIA_145.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 18	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 18	proteomic profiling by mass spectrometry	LP1_10_AB_DIA_147.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_10_AB_DIA_147.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 19	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 19	proteomic profiling by mass spectrometry	LP1_11_AB_DIA_148.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_11_AB_DIA_148.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 20	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 20	proteomic profiling by mass spectrometry	LP1_12_AB_DIA_149.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_12_AB_DIA_149.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 21	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 21	proteomic profiling by mass spectrometry	LP1_13_AB_DIA_151.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_13_AB_DIA_151.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 22	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 22	proteomic profiling by mass spectrometry	LP1_14_AB_DIA_152.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_14_AB_DIA_152.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 23	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 23	proteomic profiling by mass spectrometry	LP1_15_AB_DIA_153.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_15_AB_DIA_153.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 24	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 24	proteomic profiling by mass spectrometry	LP1_16_AB_DIA_155.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_16_AB_DIA_155.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 25	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 25	proteomic profiling by mass spectrometry	LP1_17_AB_DIA_156.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_17_AB_DIA_156.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 26	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 26	proteomic profiling by mass spectrometry	LP1_18_AB_DIA_157.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_18_AB_DIA_157.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 27	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 27	proteomic profiling by mass spectrometry	LP1_19_AB_DIA_159.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_19_AB_DIA_159.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 28	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 28	proteomic profiling by mass spectrometry	LP1_20_AB_DIA_160.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_20_AB_DIA_160.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 29	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 29	proteomic profiling by mass spectrometry	LP1_21_AB_DIA_161.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_21_AB_DIA_161.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 30	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 30	proteomic profiling by mass spectrometry	LP1_22_AB_DIA_163.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_22_AB_DIA_163.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 31	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 31	proteomic profiling by mass spectrometry	LP1_23_AB_DIA_164.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_23_AB_DIA_164.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 32	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	no enrichment	cell	run 32	proteomic profiling by mass spectrometry	LP1_24_AB_DIA_165.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_24_AB_DIA_165.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 33	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 33	proteomic profiling by mass spectrometry	LP1_03_phos_DDA_111.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_03_phos_DDA_111.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
