source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 11	Homo sapiens	kidney	not available	42Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 11	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C3_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C3_F2.raw
Sample 12	Homo sapiens	kidney	not available	42Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 12	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C3_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C3_F3.raw
Sample 13	Homo sapiens	kidney	not available	50Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 13	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C4_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C4_F1.raw
Sample 14	Homo sapiens	kidney	not available	50Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 14	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C4_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C4_F2.raw
Sample 15	Homo sapiens	kidney	not available	50Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 15	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C4_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C4_F3.raw
Sample 16	Homo sapiens	kidney	not available	71Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 16	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C5_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C5_F1.raw
Sample 17	Homo sapiens	kidney	not available	71Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 17	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C5_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C5_F2.raw
Sample 18	Homo sapiens	kidney	not available	71Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 18	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C5_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C5_F3.raw
Sample 19	Homo sapiens	kidney	not available	38Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 19	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C7_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C7_F1.raw
Sample 20	Homo sapiens	kidney	not available	38Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 20	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C7_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C7_F2.raw
Sample 21	Homo sapiens	kidney	not available	38Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 21	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C7_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C7_F3.raw
Sample 22	Homo sapiens	kidney	not available	58Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 22	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C8_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C8_F1.raw
Sample 23	Homo sapiens	kidney	not available	58Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 23	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C8_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C8_F2.raw
Sample 24	Homo sapiens	kidney	not available	58Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 24	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C8_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C8_F3.raw
Sample 25	Homo sapiens	kidney	not available	36Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 25	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C9_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C9_F1.raw
Sample 26	Homo sapiens	kidney	not available	36Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 26	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C9_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C9_F2.raw
Sample 27	Homo sapiens	kidney	not available	36Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 27	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C9_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_C9_F3.raw
Sample 28	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 28	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K10_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K10_F1.raw
Sample 29	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 29	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K10_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K10_F2.raw
Sample 30	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 30	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K10_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K10_F3.raw
Sample 31	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 31	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K1_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K1_F1.raw
Sample 32	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 32	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K1_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K1_F2.raw
Sample 33	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 33	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K1_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K1_F3.raw
Sample 34	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 34	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K2_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K2_F1.raw
Sample 35	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 35	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K2_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K2_F2.raw
Sample 36	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 36	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K2_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K2_F3.raw
Sample 37	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 37	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K3_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K3_F1.raw
