Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[enrichment method]	Characteristics[enrichment process]	Characteristics[synthetic peptide]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[enrichment method]	Factor Value[enrichment process]
Sample 11	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 11	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_224.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_224.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 12	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 12	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_225.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_225.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 13	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 13	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_226.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_226.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 14	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 14	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_227.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_227.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 15	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 15	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_228.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_228.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 16	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 16	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_229.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_229.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 17	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 17	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_230.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_230.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 18	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 18	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_231.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_231.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 19	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 19	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_232.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_232.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 20	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 20	proteomic profiling by mass spectrometry	ES_XP_Membrane_LM6_233.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_233.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 21	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 21	proteomic profiling by mass spectrometry	ES_XP_NE_97L_368.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_368.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 22	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 22	proteomic profiling by mass spectrometry	ES_XP_NE_97L_369.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_369.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 23	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 23	proteomic profiling by mass spectrometry	ES_XP_NE_97L_370.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_370.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 24	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 24	proteomic profiling by mass spectrometry	ES_XP_NE_97L_371.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_371.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 25	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 25	proteomic profiling by mass spectrometry	ES_XP_NE_97L_372.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_372.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 26	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 26	proteomic profiling by mass spectrometry	ES_XP_NE_97L_373.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_373.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 27	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 27	proteomic profiling by mass spectrometry	ES_XP_NE_LM6_362.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_362.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 28	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 28	proteomic profiling by mass spectrometry	ES_XP_NE_LM6_363.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_363.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 29	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 29	proteomic profiling by mass spectrometry	ES_XP_NE_LM6_364.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_364.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 30	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 30	proteomic profiling by mass spectrometry	ES_XP_NE_LM6_365.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_365.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 31	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 31	proteomic profiling by mass spectrometry	ES_XP_NE_LM6_366.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_366.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
Sample 32	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 32	proteomic profiling by mass spectrometry	ES_XP_NE_LM6_367.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_367.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein
