source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000001-XB79	Homo sapiens	not available	not available	not available	not available	11	not applicable	blood plasma	PAD000001-r00011-XB79	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_10	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB59	Homo sapiens	not available	not available	not available	not available	12	not applicable	blood plasma	PAD000001-r00012-XB59	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_10	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB114	Homo sapiens	not available	not available	not available	not available	13	not applicable	blood plasma	PAD000001-r00013-XB114	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_12	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB94	Homo sapiens	not available	not available	not available	not available	14	not applicable	blood plasma	PAD000001-r00014-XB94	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_13	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB14	Homo sapiens	not available	not available	not available	not available	15	not applicable	blood plasma	PAD000001-r00015-XB14	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_4	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB100	Homo sapiens	not available	not available	not available	not available	16	not applicable	blood plasma	PAD000001-r00016-XB100	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_2	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB112	Homo sapiens	not available	not available	not available	not available	17	not applicable	blood plasma	PAD000001-r00017-XB112	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_2	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB89	Homo sapiens	not available	not available	not available	not available	18	not applicable	blood plasma	PAD000001-r00018-XB89	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_8	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB107	Homo sapiens	not available	not available	not available	not available	19	not applicable	blood plasma	PAD000001-r00019-XB107	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_3	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000001-XB21	Homo sapiens	not available	not available	not available	not available	20	not applicable	blood plasma	PAD000001-r00020-XB21	protein expression profiling by antibody array	1	olink_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000001/olink_npx.csv	Olink Target 96	NPX	sample_manifest_plate_3	Intensity	Cardiometabolic; Inflammation; Neurology; Oncology	Olink Target 96	intensity normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
