source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 11	plasmodium falciparum	not available	merozoites	not applicable	1	run 11	3D7	PXD001684	20111203EL12.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL12.RAW	1	11	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 12	plasmodium falciparum	not available	merozoites	not applicable	1	run 12	3D7	PXD001684	20111203EL13.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL13.RAW	1	12	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 13	plasmodium falciparum	not available	merozoites	not applicable	1	run 13	3D7	PXD001684	20111203EL14.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL14.RAW	1	13	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 14	plasmodium falciparum	not available	merozoites	not applicable	1	run 14	3D7	PXD001684	20111203EL15.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL15.RAW	1	14	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 15	plasmodium falciparum	not available	merozoites	not applicable	1	run 15	3D7	PXD001684	20111203EL16.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL16.RAW	1	15	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 16	plasmodium falciparum	not available	merozoites	not applicable	1	run 16	3D7	PXD001684	20111203EL17.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL17.RAW	1	16	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 17	plasmodium falciparum	not available	merozoites	not applicable	1	run 17	3D7	PXD001684	20111203EL18.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL18.RAW	1	17	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 18	plasmodium falciparum	not available	merozoites	not applicable	1	run 18	3D7	PXD001684	20111203EL19.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL19.RAW	1	18	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 19	plasmodium falciparum	not available	merozoites	not applicable	1	run 19	3D7	PXD001684	20111203EL20.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL20.RAW	1	19	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 20	plasmodium falciparum	not available	merozoites	not applicable	1	run 20	3D7	PXD001684	20111203EL21.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL21.RAW	1	20	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 21	plasmodium falciparum	not available	merozoites	not applicable	1	run 21	3D7	PXD001684	20111203EL22.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL22.RAW	1	21	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 22	plasmodium falciparum	not available	merozoites	not applicable	2	run 22	3D7	PXD001684	20111207EL02.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111207EL02.RAW	1	1	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 23	plasmodium falciparum	not available	merozoites	not applicable	2	run 23	3D7	PXD001684	20111207EL03.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111207EL03.RAW	1	2	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 24	plasmodium falciparum	not available	merozoites	not applicable	2	run 24	3D7	PXD001684	20111207EL04.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111207EL04.RAW	1	3	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 25	plasmodium falciparum	not available	merozoites	not applicable	2	run 25	3D7	PXD001684	20111207EL05.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111207EL05.RAW	1	4	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 26	plasmodium falciparum	not available	merozoites	not applicable	2	run 26	3D7	PXD001684	20111207EL06.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111207EL06.RAW	1	5	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 27	plasmodium falciparum	not available	merozoites	not applicable	2	run 27	3D7	PXD001684	20111207EL07.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111207EL07.RAW	1	6	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 28	plasmodium falciparum	not available	merozoites	not applicable	2	run 28	3D7	PXD001684	20111207EL08.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111207EL08.RAW	1	7	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
