source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[organism part]	characteristics[cell line]	comment[proteomexchange accession number]	comment[data file]	comment[Associated file URI]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	material type	description	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]
Sample 791	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_H03_P003811_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H03_P003811_B0X_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 792	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_E01_P003811_B0E_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E01_P003811_B0E_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 793	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_B02_P003811_B0J_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B02_P003811_B0J_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 794	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_A03_P003811_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A03_P003811_B0Q_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 795	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_A02_P003811_B0I_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A02_P003811_B0I_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 796	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_F02_P003811_B0N_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F02_P003811_B0N_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 797	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_G02_P003811_B0O_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G02_P003811_B0O_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 798	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_E03_P003811_B0U_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E03_P003811_B0U_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 799	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_C01_P003811_B0C_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C01_P003811_B0C_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 800	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_C02_P003811_B0K_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C02_P003811_B0K_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 801	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_F01_P003811_B0F_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F01_P003811_B0F_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 802	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_D02_P003811_B0L_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D02_P003811_B0L_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 803	homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_A01_P003811_B0A_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A01_P003811_B0A_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 804	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_E04_P003812_B0E_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E04_P003812_B0E_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 805	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_C04_P003812_B0C_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C04_P003812_B0C_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 806	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_B05_P003812_B0J_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B05_P003812_B0J_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 807	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_C06_P003812_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C06_P003812_B0S_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 808	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_D06_P003812_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D06_P003812_B0T_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 809	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_E06_P003812_B0U_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E06_P003812_B0U_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 810	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_H06_P003812_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H06_P003812_B0X_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 811	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_G05_P003812_B0O_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G05_P003812_B0O_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 812	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_F06_P003812_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F06_P003812_B0V_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 813	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_A06_P003812_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A06_P003812_B0Q_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 814	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_F04_P003812_B0F_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F04_P003812_B0F_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 815	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_G06_P003812_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G06_P003812_B0W_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 816	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_B06_P003812_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B06_P003812_B0R_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 817	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_D05_P003812_B0L_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D05_P003812_B0L_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 818	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_A05_P003812_B0I_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A05_P003812_B0I_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
Sample 819	homo sapiens	renal cell carcinoma	kidney	proximal renal artery	RXF 393	PXD005940	00522_D04_P003812_B0D_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D04_P003812_B0D_A00_R1.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm
