source name	characteristics[organism]	characteristics[disease]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[organism part]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	characteristics[depletion]	assay name	comment[label]	comment[proteomexchange accession number]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 21	AC=MS:1002038;NT=label free sample	PXD005940	1	11	00522_C02_P003811_B0K_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C02_P003811_B0K_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 23	AC=MS:1002038;NT=label free sample	PXD005940	1	12	00522_D02_P003811_B0L_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D02_P003811_B0L_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 7	AC=MS:1002038;NT=label free sample	PXD005940	1	13	00522_E02_P003811_B0M_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E02_P003811_B0M_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 17	AC=MS:1002038;NT=label free sample	PXD005940	1	14	00522_F02_P003811_B0N_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F02_P003811_B0N_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 18	AC=MS:1002038;NT=label free sample	PXD005940	1	15	00522_G02_P003811_B0O_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G02_P003811_B0O_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 6	AC=MS:1002038;NT=label free sample	PXD005940	1	16	00522_H02_P003811_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H02_P003811_B0P_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 15	AC=MS:1002038;NT=label free sample	PXD005940	1	17	00522_A03_P003811_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A03_P003811_B0Q_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 2	AC=MS:1002038;NT=label free sample	PXD005940	1	18	00522_B03_P003811_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B03_P003811_B0R_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 9	AC=MS:1002038;NT=label free sample	PXD005940	1	19	00522_C03_P003811_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C03_P003811_B0S_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 11	AC=MS:1002038;NT=label free sample	PXD005940	1	20	00522_D03_P003811_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D03_P003811_B0T_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 19	AC=MS:1002038;NT=label free sample	PXD005940	1	21	00522_E03_P003811_B0U_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E03_P003811_B0U_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 3	AC=MS:1002038;NT=label free sample	PXD005940	1	22	00522_F03_P003811_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F03_P003811_B0V_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 1	AC=MS:1002038;NT=label free sample	PXD005940	1	23	00522_G03_P003811_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G03_P003811_B0W_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	no depletion	run 12	AC=MS:1002038;NT=label free sample	PXD005940	1	24	00522_H03_P003811_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H03_P003811_B0X_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 48	AC=MS:1002038;NT=label free sample	PXD005940	1	1	00522_A04_P003812_B0A_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A04_P003812_B0A_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 42	AC=MS:1002038;NT=label free sample	PXD005940	1	2	00522_B04_P003812_B0B_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B04_P003812_B0B_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 26	AC=MS:1002038;NT=label free sample	PXD005940	1	3	00522_C04_P003812_B0C_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C04_P003812_B0C_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 40	AC=MS:1002038;NT=label free sample	PXD005940	1	4	00522_D04_P003812_B0D_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D04_P003812_B0D_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 25	AC=MS:1002038;NT=label free sample	PXD005940	1	5	00522_E04_P003812_B0E_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E04_P003812_B0E_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 35	AC=MS:1002038;NT=label free sample	PXD005940	1	6	00522_F04_P003812_B0F_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F04_P003812_B0F_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 44	AC=MS:1002038;NT=label free sample	PXD005940	1	7	00522_G04_P003812_B0G_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G04_P003812_B0G_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
Sample 2	homo sapiens	renal cell carcinoma	not available	not available	kidney	proximal renal artery	male	54Y	epithelial	RXF 393	no depletion	run 46	AC=MS:1002038;NT=label free sample	PXD005940	1	8	00522_H04_P003812_B0H_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H04_P003812_B0H_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	RXF 393
