Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[Proteomics Data Acquisition Method]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type
Sample 5	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 11	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_04_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_04_B.raw	4	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 6	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 12	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_04_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_04_C.raw	4	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 5	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 13	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_05_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_05_B.raw	5	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 6	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 14	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_05_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_05_C.raw	5	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 6	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 15	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_11_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_11_C.raw	11	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 5	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 16	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_16_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_16_B.raw	16	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 6	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 17	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_16_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_16_C.raw	16	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 5	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 18	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_18_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_18_B.raw	18	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 6	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 19	proteomic profiling by mass spectrometer	181103_EVs_Group1_MRM_AD32_18_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181103_EVs_Group1_MRM_AD32_18_C.raw	18	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 4	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 20	proteomic profiling by mass spectrometer	181106_EVs_Group1_MRM_AD33_02_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181106_EVs_Group1_MRM_AD33_02_A.raw	2	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 4	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 21	proteomic profiling by mass spectrometer	181106_EVs_Group1_MRM_AD33_03_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181106_EVs_Group1_MRM_AD33_03_A.raw	3	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 5	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 22	proteomic profiling by mass spectrometer	181106_EVs_Group1_MRM_AD33_03_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181106_EVs_Group1_MRM_AD33_03_B.raw	3	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 4	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 23	proteomic profiling by mass spectrometer	181106_EVs_Group1_MRM_AD33_10_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181106_EVs_Group1_MRM_AD33_10_A.raw	10	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 5	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 24	proteomic profiling by mass spectrometer	181106_EVs_Group1_MRM_AD33_10_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181106_EVs_Group1_MRM_AD33_10_B.raw	10	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 7	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 25	proteomic profiling by mass spectrometer	181106_EVs_Group1_MRM_AD33_10_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181106_EVs_Group1_MRM_AD33_10_C.raw	10	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	3	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 4	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 26	proteomic profiling by mass spectrometer	181106_EVs_Group1_MRM_AD33_18_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181106_EVs_Group1_MRM_AD33_18_A.raw	18	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 8	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 27	proteomic profiling by mass spectrometer	181109_EVs_Group1_MRM_AD61_05_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181109_EVs_Group1_MRM_AD61_05_A.raw	5	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 9	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 28	proteomic profiling by mass spectrometer	181109_EVs_Group1_MRM_AD61_05_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181109_EVs_Group1_MRM_AD61_05_B.raw	5	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 8	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 29	proteomic profiling by mass spectrometer	181109_EVs_Group1_MRM_AD61_06_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181109_EVs_Group1_MRM_AD61_06_A.raw	6	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 9	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 30	proteomic profiling by mass spectrometer	181109_EVs_Group1_MRM_AD61_07_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181109_EVs_Group1_MRM_AD61_07_B.raw	7	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 8	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 31	proteomic profiling by mass spectrometer	181109_EVs_Group1_MRM_AD61_18_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181109_EVs_Group1_MRM_AD61_18_A.raw	18	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	1	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 9	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 32	proteomic profiling by mass spectrometer	181109_EVs_Group1_MRM_AD61_18_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181109_EVs_Group1_MRM_AD61_18_B.raw	18	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
Sample 10	Homo sapiens	brain extracellular vesicles	not available	not available	not available	not applicable	not applicable	not available	not available	not applicable	run 33	proteomic profiling by mass spectrometer	181113_EVs_Group1_MRM_AD62_08_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD015578/181113_EVs_Group1_MRM_AD62_08_B.raw	8	AC=MS:1002038;NT=label free sample	NT=selected reaction monitoring;AC=MS:1000206	2	NT=Trypsin; AC=MS:1001251	NT=quadrupole;AC=MS:1000081	NT=TSQ Vantage;AC=MS:1001510	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;MT=Variable;TA=N,Q	not available	30 ppm	0.02 Da	tissue
