source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_11.raw	Phospho_redissolve_final_11.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_12.raw	Phospho_redissolve_final_12.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_13.raw	Phospho_redissolve_final_13.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_14.raw	Phospho_redissolve_final_14.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_15.raw	Phospho_redissolve_final_15.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_16.raw	Phospho_redissolve_final_16.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_17.raw	Phospho_redissolve_final_17.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_18.raw	Phospho_redissolve_final_18.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_19.raw	Phospho_redissolve_final_19.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_20.raw	Phospho_redissolve_final_20.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_21.raw	Phospho_redissolve_final_21.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_22.raw	Phospho_redissolve_final_22.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_23.raw	Phospho_redissolve_final_23.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_24.raw	Phospho_redissolve_final_24.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_25.raw	Phospho_redissolve_final_25.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_26.raw	Phospho_redissolve_final_26.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_27.raw	Phospho_redissolve_final_27.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_28.raw	Phospho_redissolve_final_28.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_29.raw	Phospho_redissolve_final_29.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_30.raw	Phospho_redissolve_final_30.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_31.raw	Phospho_redissolve_final_31.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_32.raw	Phospho_redissolve_final_32.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_33.raw	Phospho_redissolve_final_33.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_34.raw	Phospho_redissolve_final_34.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_35.raw	Phospho_redissolve_final_35.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_36.raw	Phospho_redissolve_final_36.raw
