source name	characteristics[Organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[bait]	characteristics[senescence]	characteristics[RNase]	assay name	Technology Type	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	Material Type	factor value[bait]	factor value[senescence]	factor value[RNase]
11	Saccharomyces cerevisiae	not available	not available	not applicable	telo	nonsenescent	untreated	run 11	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_294.raw	20160715_QEP2_FBU_LP_294.raw	lysate	telo	nonsenescent	untreated
12	Saccharomyces cerevisiae	not available	not available	not applicable	control	nonsenescent	untreated	run 12	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_295.raw	20160715_QEP2_FBU_LP_295.raw	lysate	control	nonsenescent	untreated
13	Saccharomyces cerevisiae	not available	not available	not applicable	telo	nonsenescent	untreated	run 13	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_300.raw	20160715_QEP2_FBU_LP_300.raw	lysate	telo	nonsenescent	untreated
14	Saccharomyces cerevisiae	not available	not available	not applicable	control	nonsenescent	untreated	run 14	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_301.raw	20160715_QEP2_FBU_LP_301.raw	lysate	control	nonsenescent	untreated
15	Saccharomyces cerevisiae	not available	not available	not applicable	telo	nonsenescent	untreated	run 15	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_302.raw	20160715_QEP2_FBU_LP_302.raw	lysate	telo	nonsenescent	untreated
16	Saccharomyces cerevisiae	not available	not available	not applicable	control	nonsenescent	untreated	run 16	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_303.raw	20160715_QEP2_FBU_LP_303.raw	lysate	control	nonsenescent	untreated
17	Saccharomyces cerevisiae	not available	not available	not applicable	telo	senescent	Rnase	run 17	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160812_QEP2_FBU_LP_316_PD_telo_Rnase.raw	20160812_QEP2_FBU_LP_316_PD_telo_Rnase.raw	lysate	telo	senescent	Rnase
18	Saccharomyces cerevisiae	not available	not available	not applicable	control	senescent	Rnase	run 18	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160812_QEP2_FBU_LP_317_PD_control_Rnase.raw	20160812_QEP2_FBU_LP_317_PD_control_Rnase.raw	lysate	control	senescent	Rnase
19	Saccharomyces cerevisiae	not available	not available	not applicable	telo	senescent	Rnase	run 19	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160812_QEP2_FBU_LP_318_PD_telo_Rnase.raw	20160812_QEP2_FBU_LP_318_PD_telo_Rnase.raw	lysate	telo	senescent	Rnase
20	Saccharomyces cerevisiae	not available	not available	not applicable	control	senescent	Rnase	run 20	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160812_QEP2_FBU_LP_319_PD_control_Rnase.raw	20160812_QEP2_FBU_LP_319_PD_control_Rnase.raw	lysate	control	senescent	Rnase
21	Saccharomyces cerevisiae	not available	not available	not applicable	telo	senescent	Rnase	run 21	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160812_QEP2_FBU_LP_320_PD_telo_Rnase.raw	20160812_QEP2_FBU_LP_320_PD_telo_Rnase.raw	lysate	telo	senescent	Rnase
22	Saccharomyces cerevisiae	not available	not available	not applicable	control	senescent	Rnase	run 22	proteomic profiling by mass spectrometer	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160812_QEP2_FBU_LP_321_PD_control_Rnase.raw	20160812_QEP2_FBU_LP_321_PD_control_Rnase.raw	lysate	control	senescent	Rnase
