source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[compound]
Sample 4	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	2	cell	run 11	proteomic profiling by mass spectrometry	UM_2009_1604_b-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1604_b-KMH2.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 4	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	2	cell	run 12	proteomic profiling by mass spectrometry	UM_2009_1604_c-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1604_c-KMH2.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 5	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	3	cell	run 13	proteomic profiling by mass spectrometry	UM_2009_1778_a-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1778_a-KMH2.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 5	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	3	cell	run 14	proteomic profiling by mass spectrometry	UM_2009_1778_b-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1778_b-KMH2.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 5	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	3	cell	run 15	proteomic profiling by mass spectrometry	UM_2009_1778_c-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1778_c-KMH2.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 6	Homo sapiens	lymphoblast	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	3	cell	run 16	proteomic profiling by mass spectrometry	UM_2009_a_1383-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_a_1383-SUDHL4.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 6	Homo sapiens	lymphoblast	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	3	cell	run 17	proteomic profiling by mass spectrometry	UM_2009_A_2098_a1-SUDHL1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2098_a1-SUDHL1.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 6	Homo sapiens	lymphoblast	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	3	cell	run 18	proteomic profiling by mass spectrometry	UM_2009_A_2098_a2-SUDHL1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2098_a2-SUDHL1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 7	Homo sapiens	lymph node	10Y	male	diffuse histiocytic lymphoma	Caucasian	histiocytic	SUD-HL-1	no compound	glycosylation	1	cell	run 19	proteomic profiling by mass spectrometry	UM_2009_A_2098_a3-SUDHL1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2098_a3-SUDHL1.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SUD-HL-1	no compound
Sample 7	Homo sapiens	lymph node	10Y	male	diffuse histiocytic lymphoma	Caucasian	histiocytic	SUD-HL-1	no compound	glycosylation	1	cell	run 20	proteomic profiling by mass spectrometry	UM_2009_A_2099_a1-MEDB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2099_a1-MEDB1.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SUD-HL-1	no compound
Sample 7	Homo sapiens	lymph node	10Y	male	diffuse histiocytic lymphoma	Caucasian	histiocytic	SUD-HL-1	no compound	glycosylation	1	cell	run 21	proteomic profiling by mass spectrometry	UM_2009_A_2099_a2-MEDB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2099_a2-MEDB1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SUD-HL-1	no compound
Sample 8	Homo sapiens	lymphoblast	not available	not available	Primary mediastinal large B-cell lymphoma	not available	B lymphocyte	Med-B1	no compound	glycosylation	1	cell	run 22	proteomic profiling by mass spectrometry	UM_2009_A_2099_a3-MEDB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2099_a3-MEDB1.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Med-B1	no compound
Sample 8	Homo sapiens	lymphoblast	not available	not available	Primary mediastinal large B-cell lymphoma	not available	B lymphocyte	Med-B1	no compound	glycosylation	1	cell	run 23	proteomic profiling by mass spectrometry	UM_2009_A_2100_a1-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2100_a1-DEL.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Med-B1	no compound
Sample 8	Homo sapiens	lymphoblast	not available	not available	Primary mediastinal large B-cell lymphoma	not available	B lymphocyte	Med-B1	no compound	glycosylation	1	cell	run 24	proteomic profiling by mass spectrometry	UM_2009_A_2100_a2-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2100_a2-DEL.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Med-B1	no compound
Sample 9	Homo sapiens	not available	not available	not available	Anaplastic large cell lymphoma	not available	not available	DEL	no compound	glycosylation	1	cell	run 25	proteomic profiling by mass spectrometry	UM_2009_A_2100_a3-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2100_a3-DEL.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEL	no compound
Sample 9	Homo sapiens	not available	not available	not available	Anaplastic large cell lymphoma	not available	not available	DEL	no compound	glycosylation	1	cell	run 26	proteomic profiling by mass spectrometry	UM_2009_A_2233_a1-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2233_a1-DEL.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEL	no compound
Sample 9	Homo sapiens	not available	not available	not available	Anaplastic large cell lymphoma	not available	not available	DEL	no compound	glycosylation	1	cell	run 27	proteomic profiling by mass spectrometry	UM_2009_A_2233_a2-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2233_a2-DEL.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEL	no compound
Sample 10	Homo sapiens	not available	not available	not available	Anaplastic large cell lymphoma	not available	not available	DEL	no compound	glycosylation	2	cell	run 28	proteomic profiling by mass spectrometry	UM_2009_A_2233_a3-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2233_a3-DEL.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEL	no compound
Sample 10	Homo sapiens	not available	not available	not available	Anaplastic large cell lymphoma	not available	not available	DEL	no compound	glycosylation	2	cell	run 29	proteomic profiling by mass spectrometry	UM_2009_A_2234_a1-KARPAS1106P.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2234_a1-KARPAS1106P.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEL	no compound
Sample 10	Homo sapiens	not available	not available	not available	Anaplastic large cell lymphoma	not available	not available	DEL	no compound	glycosylation	2	cell	run 30	proteomic profiling by mass spectrometry	UM_2009_A_2234_a2-KARPAS1106P.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2234_a2-KARPAS1106P.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEL	no compound
Sample 11	Homo sapiens	Blood	not available	not available	Primary mediastinal large B-cell lymphoma	not available	B cell lymphoma	Karpas 1106P	no compound	glycosylation	1	cell	run 31	proteomic profiling by mass spectrometry	UM_2009_A_2234_a3-KARPAS1106P.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2234_a3-KARPAS1106P.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 1106P	no compound
Sample 11	Homo sapiens	Blood	not available	not available	Primary mediastinal large B-cell lymphoma	not available	B cell lymphoma	Karpas 1106P	no compound	glycosylation	1	cell	run 32	proteomic profiling by mass spectrometry	UM_2009_A_2479_a1-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2479_a1-DEL.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 1106P	no compound
Sample 11	Homo sapiens	Blood	not available	not available	Primary mediastinal large B-cell lymphoma	not available	B cell lymphoma	Karpas 1106P	no compound	glycosylation	1	cell	run 33	proteomic profiling by mass spectrometry	UM_2009_A_2479_a2-DEL.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2479_a2-DEL.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Karpas 1106P	no compound
