source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]
Sample 5	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw
Sample 5	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8C.raw
Sample 6	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw
Sample 6	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9B.raw
Sample 6	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw
Sample 7	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw
Sample 7	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw
Sample 7	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_1C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_1C.raw
Sample 8	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw
Sample 8	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw
Sample 8	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw
Sample 9	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3A.raw
Sample 9	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw
Sample 9	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw
Sample 10	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4A.raw
Sample 10	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4B.raw
Sample 10	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_4C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_4C.raw
Sample 11	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw
Sample 11	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5B.raw
Sample 11	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw
Sample 12	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw
Sample 12	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw
Sample 12	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20141022_Q1_SA_YaAt_2i_FCS-Epi_6C.raw	20141022_Q1_SA_YaAt_2i_FCS-Epi_6C.raw
Sample 13	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1A.raw	20150105_Q1_SA_YaAt_ESC_proteome_1A.raw
Sample 13	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1B.raw	20150105_Q1_SA_YaAt_ESC_proteome_1B.raw
Sample 13	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_1C.raw	20150105_Q1_SA_YaAt_ESC_proteome_1C.raw
Sample 14	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2A.raw	20150105_Q1_SA_YaAt_ESC_proteome_2A.raw
Sample 14	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2B.raw	20150105_Q1_SA_YaAt_ESC_proteome_2B.raw
Sample 14	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_2C.raw	20150105_Q1_SA_YaAt_ESC_proteome_2C.raw
Sample 15	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3A.raw	20150105_Q1_SA_YaAt_ESC_proteome_3A.raw
Sample 15	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3B.raw	20150105_Q1_SA_YaAt_ESC_proteome_3B.raw
Sample 15	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_3C.raw	20150105_Q1_SA_YaAt_ESC_proteome_3C.raw
Sample 16	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4A.raw	20150105_Q1_SA_YaAt_ESC_proteome_4A.raw
Sample 16	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4B.raw	20150105_Q1_SA_YaAt_ESC_proteome_4B.raw
Sample 16	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_4C.raw	20150105_Q1_SA_YaAt_ESC_proteome_4C.raw
Sample 17	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	1	tissue	run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20150105_Q1_SA_YaAt_ESC_proteome_7A.raw	20150105_Q1_SA_YaAt_ESC_proteome_7A.raw
