Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell line]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[label]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type
Sample 11	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	2	run 11	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	cell
Sample 12	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	3	run 12	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	cell
Sample 13	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	1	run 13	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	cell
Sample 14	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	2	run 14	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	cell
Sample 15	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	3	run 15	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	cell
Sample 16	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	not available	1	run 16	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	cell
Sample 17	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	not available	2	run 17	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780CP70_B.RAW	cell
Sample 18	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	not available	3	run 18	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780CP70_C.RAW	cell
Sample 19	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	not available	1	run 19	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_A.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780_A.raw	cell
Sample 20	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	not available	2	run 20	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_B.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780_B.raw	cell
Sample 21	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	not available	3	run 21	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130619_EXQ4_FaCo_SA_CL_A2780_C.raw	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130619_EXQ4_FaCo_SA_CL_A2780_C.raw	cell
Sample 22	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	not available	1	run 22	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130809_EXQ3_FaCo_SA_CL_IOSE397_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130809_EXQ3_FaCo_SA_CL_IOSE397_A.RAW	cell
Sample 23	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	not available	2	run 23	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130809_EXQ3_FaCo_SA_CL_IOSE397_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130809_EXQ3_FaCo_SA_CL_IOSE397_B.RAW	cell
Sample 24	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	not available	3	run 24	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20140115_EXQ6_FaCo_SA_CL_IOSE397_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20140115_EXQ6_FaCo_SA_CL_IOSE397_C.RAW	cell
Sample 25	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	not available	1	run 25	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_ME180C13_A.RAW	cell
Sample 26	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	not available	2	run 26	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_ME180C13_B.RAW	cell
Sample 27	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	not available	3	run 27	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_ME180C13_C.RAW	cell
Sample 28	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	not available	1	run 28	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_TOV112D_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_TOV112D_A.RAW	cell
Sample 29	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	not available	2	run 29	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_TOV112D_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131018_EXQ3_FaCo_SA_CL_TOV112D_B.RAW	cell
Sample 30	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	not available	3	run 30	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_TOV112D_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131025_EXQ3_FaCo_SA_CL_TOV112D_C.RAW	cell
Sample 31	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	not available	1	run 31	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131021_EXQ3_FaCo_SA_CL_ME180_A.RAW	cell
Sample 32	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	not available	2	run 32	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131021_EXQ3_FaCo_SA_CL_ME180_B.RAW	cell
Sample 33	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	not available	3	run 33	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131021_EXQ3_FaCo_SA_CL_ME180_C.RAW	cell
Sample 34	Homo sapiens	not available	IGROV1CP	not available	not available	not available	not available	not available	not available	1	run 34	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1CP_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131025_EXQ3_FaCo_SA_CL_IGROV1CP_A.RAW	cell
Sample 35	Homo sapiens	not available	IGROV1CP	not available	not available	not available	not available	not available	not available	2	run 35	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1CP_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131025_EXQ3_FaCo_SA_CL_IGROV1CP_B.RAW	cell
Sample 36	Homo sapiens	not available	IGROV1CP	not available	not available	not available	not available	not available	not available	3	run 36	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1CP_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131025_EXQ3_FaCo_SA_CL_IGROV1CP_C.RAW	cell
Sample 37	Homo sapiens	not available	IGROV1	not available	not available	not available	not available	not available	not available	1	run 37	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131025_EXQ3_FaCo_SA_CL_IGROV1_A.RAW	cell
Sample 38	Homo sapiens	not available	IGROV1	not available	not available	not available	not available	not available	not available	2	run 38	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131025_EXQ3_FaCo_SA_CL_IGROV1_B.RAW	cell
