Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	characteristics[biological replicate]	assay name	comment[label]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[cell line]
Sample 2	Homo sapiens	not available	not available	not available	not available	Fetus	Female	HEK293	epithelial	no depletion	1	run 11	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_293_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_293_5.raw	cell	HEK293
Sample 2	Homo sapiens	not available	not available	not available	not available	Fetus	Female	HEK293	epithelial	no depletion	1	run 12	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_293_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_293_6.raw	cell	HEK293
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	run 13	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_1.raw	cell	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	run 14	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_2.raw	cell	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	run 15	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_3.raw	cell	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	run 16	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_4.raw	cell	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	run 17	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_5.raw	cell	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	run 18	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_6.raw	cell	GAMG
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	run 19	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_1.raw	cell	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	run 20	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_2.raw	cell	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	run 21	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_3.raw	cell	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	run 22	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_4.raw	cell	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	run 23	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_5.raw	cell	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	run 24	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_6.raw	cell	HELA
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	run 25	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_1.raw	cell	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	run 26	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_2.raw	cell	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	run 27	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_3.raw	cell	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	run 28	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_4.raw	cell	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	run 29	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_5.raw	cell	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	run 30	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_6.raw	cell	HepG2
