Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	characteristics[biological replicate]	Characteristics[cell line]	characteristics[individual]	assay name	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	Material Type	factor value[cell line]
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 11	AC=MS:1002038;NT=label free sample	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01531.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01531.raw	cell	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 12	AC=MS:1002038;NT=label free sample	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01532.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01532.raw	cell	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 13	AC=MS:1002038;NT=label free sample	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01533.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01533.raw	cell	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 14	AC=MS:1002038;NT=label free sample	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01534.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01534.raw	cell	MDAMB468
Sample 3	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 15	AC=MS:1002038;NT=label free sample	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01535.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01535.raw	cell	MDAMB468
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 16	AC=MS:1002038;NT=label free sample	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01538.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01538.raw	cell	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 17	AC=MS:1002038;NT=label free sample	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01551.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01551.raw	cell	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 18	AC=MS:1002038;NT=label free sample	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01552.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01552.raw	cell	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 19	AC=MS:1002038;NT=label free sample	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01553.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01553.raw	cell	MCF10A
Sample 4	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 20	AC=MS:1002038;NT=label free sample	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01554.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01554.raw	cell	MCF10A
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 21	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01556.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01556.raw	cell	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 22	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01557.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01557.raw	cell	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 23	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01558.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01558.raw	cell	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 24	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01559.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01559.raw	cell	MDAMB231
Sample 5	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	run 25	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01560.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01560.raw	cell	MDAMB231
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 26	AC=MS:1002038;NT=label free sample	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01566.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01566.raw	cell	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 27	AC=MS:1002038;NT=label free sample	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01567.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01567.raw	cell	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 28	AC=MS:1002038;NT=label free sample	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01568.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01568.raw	cell	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 29	AC=MS:1002038;NT=label free sample	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01569.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01569.raw	cell	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 30	AC=MS:1002038;NT=label free sample	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01570.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01570.raw	cell	MDAMB453
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 31	AC=MS:1002038;NT=label free sample	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01609.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01609.raw	cell	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 32	AC=MS:1002038;NT=label free sample	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01610.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01610.raw	cell	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 33	AC=MS:1002038;NT=label free sample	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01611.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01611.raw	cell	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 34	AC=MS:1002038;NT=label free sample	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01612.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01612.raw	cell	MDAMB468
Sample 7	Homo sapiens	breast	adult	epithelial	Black	51Y	female	breast carcinoma	1	MDAMB468	not available	run 35	AC=MS:1002038;NT=label free sample	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01613.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01613.raw	cell	MDAMB468
Sample 8	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 36	AC=MS:1002038;NT=label free sample	not available	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01615.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01615.raw	cell	MCF10A
Sample 8	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 37	AC=MS:1002038;NT=label free sample	not available	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01616.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01616.raw	cell	MCF10A
Sample 8	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 38	AC=MS:1002038;NT=label free sample	not available	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01617.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01617.raw	cell	MCF10A
Sample 8	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 39	AC=MS:1002038;NT=label free sample	not available	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01618.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01618.raw	cell	MCF10A
Sample 8	Homo sapiens	breast	adult	epithelial	Caucasian	36Y	female	fibrocystic disease	1	MCF10A	not available	run 40	AC=MS:1002038;NT=label free sample	not available	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01619.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01619.raw	cell	MCF10A
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 41	AC=MS:1002038;NT=label free sample	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01623.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01623.raw	cell	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 42	AC=MS:1002038;NT=label free sample	2	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01624.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01624.raw	cell	MDAMB453
Sample 6	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	metastatic carcinoma	1	MDAMB453	not available	run 43	AC=MS:1002038;NT=label free sample	2	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01625.raw	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	q01625.raw	cell	MDAMB453
