#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[label]	comment[ms2 mass analyzer]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]
Sample 1	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	12	1	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	not available	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1373FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1373FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 13	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	1	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:21;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1314FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1314FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 14	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	2	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:22;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1315FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1315FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 15	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	3	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:23;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1316FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1316FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 16	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	4	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:24;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1317FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1317FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 17	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	5	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:25;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1318FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1318FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 18	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	6	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:26;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1319FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1319FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 19	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	7	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:27;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1320FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1320FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 20	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	8	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:28;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1321FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1321FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 21	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	9	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:29;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1322FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1322FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 22	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	10	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:30;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1323FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1323FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 23	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	11	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:31;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1324FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1324FD.raw
Sample 2	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB1	not available	not available	enrichment of phosphorylated Protein	1	tissue	run 24	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	12	2	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	AC=UNIMOD:32;NT=Phospho;MT=Variable;TA=S,T,Y	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1325FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1325FD.raw
Sample 3	Homo sapiens	primary human medulloblastomas	not available	not available	not available	primary human medulloblastomas	MB2	not available	not available	not available	1	tissue	run 25	proteomic profiling by mass spectrometry	SILAC heavy	AC=MS:1000081;NT=quadrupole	AC=MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	35 NCE	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	AC=UNIMOD:259;NT=Label:13C(6)15N(2) ;MT=Variable;TA=K	AC=UNIMOD:267;NT=Label:13C(6)15N(4);MT=Variable;TA=R	not available	10 ppm	0.6 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD006607/C1398FD.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	C1398FD.raw
