source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[genetic background]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[file uri]
Sample 11	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 11	Proteomic profiling by mass spectrometry	11	VELOS38388.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38388.raw
Sample 12	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 12	Proteomic profiling by mass spectrometry	12	VELOS38389.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38389.raw
Sample 13	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 13	Proteomic profiling by mass spectrometry	13	VELOS38393.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38393.raw
Sample 14	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 14	Proteomic profiling by mass spectrometry	14	VELOS38402.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38402.raw
Sample 15	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 15	Proteomic profiling by mass spectrometry	15	VELOS38405.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38405.raw
Sample 16	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 16	Proteomic profiling by mass spectrometry	16	VELOS38407.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38407.raw
Sample 17	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 17	Proteomic profiling by mass spectrometry	17	VELOS38408.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38408.raw
Sample 18	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 18	Proteomic profiling by mass spectrometry	18	VELOS38419.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38419.raw
Sample 19	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 19	Proteomic profiling by mass spectrometry	19	VELOS38425.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38425.raw
Sample 20	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 20	Proteomic profiling by mass spectrometry	20	VELOS38427.raw	1	Label free sample	NT=Orbitrap Velos Pro	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.6 Da	1 Da	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=CID; AC=MS:1000133	35% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/VELOS38427.raw
