source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[enrichment method]	characteristics[treatment]	assay name	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[enrichment method]	factor value[treatment]
Sample 5	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC-BA	run 2	3D7	PXD015093	3plex_FT_exp1_1r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_1r.raw	1	2	TMT130	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 6	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 2	3D7	PXD015093	3plex_FT_exp1_1r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_1r.raw	1	2	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 1	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 3	3D7	PXD015093	3plex_FT_exp1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10.raw	10	1	TMT126	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 2	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 3	3D7	PXD015093	3plex_FT_exp1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10.raw	10	1	TMT127	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 3	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	IC	run 3	3D7	PXD015093	3plex_FT_exp1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10.raw	10	1	TMT128	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
Sample 4	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC	run 3	3D7	PXD015093	3plex_FT_exp1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10.raw	10	1	TMT129	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
Sample 5	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC-BA	run 3	3D7	PXD015093	3plex_FT_exp1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10.raw	10	1	TMT130	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 6	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 3	3D7	PXD015093	3plex_FT_exp1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10.raw	10	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 1	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 4	3D7	PXD015093	3plex_FT_exp1_10r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10r.raw	10	2	TMT126	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 2	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 4	3D7	PXD015093	3plex_FT_exp1_10r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10r.raw	10	2	TMT127	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 3	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	IC	run 4	3D7	PXD015093	3plex_FT_exp1_10r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10r.raw	10	2	TMT128	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
Sample 4	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC	run 4	3D7	PXD015093	3plex_FT_exp1_10r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10r.raw	10	2	TMT129	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
Sample 5	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC-BA	run 4	3D7	PXD015093	3plex_FT_exp1_10r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10r.raw	10	2	TMT130	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 6	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 4	3D7	PXD015093	3plex_FT_exp1_10r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_10r.raw	10	2	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 1	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 5	3D7	PXD015093	3plex_FT_exp1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11.raw	11	1	TMT126	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 2	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 5	3D7	PXD015093	3plex_FT_exp1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11.raw	11	1	TMT127	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 3	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	IC	run 5	3D7	PXD015093	3plex_FT_exp1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11.raw	11	1	TMT128	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
Sample 4	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC	run 5	3D7	PXD015093	3plex_FT_exp1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11.raw	11	1	TMT129	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
Sample 5	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC-BA	run 5	3D7	PXD015093	3plex_FT_exp1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11.raw	11	1	TMT130	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 6	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 5	3D7	PXD015093	3plex_FT_exp1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11.raw	11	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC-BA
Sample 1	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 6	3D7	PXD015093	3plex_FT_exp1_11r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11r.raw	11	2	TMT126	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 2	plasmodium falciparum	not applicable	not applicable	not applicable	1	no enrichment	not applicable	not applicable	run 6	3D7	PXD015093	3plex_FT_exp1_11r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11r.raw	11	2	TMT127	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	IC
Sample 3	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	IC	run 6	3D7	PXD015093	3plex_FT_exp1_11r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11r.raw	11	2	TMT128	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
Sample 4	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	no enrichment	not applicable	EC	run 6	3D7	PXD015093	3plex_FT_exp1_11r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3plex_FT_exp1_11r.raw	11	2	TMT129	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	AC=PRIDE:0000590;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable"	5 ppm	0.5 Da	not applicable	EC
