source name	characteristics[Organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	assay name	Technology Type	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	Material Type	factor value[spiked compound]
500amol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_10.raw	QEKAC160601_10.raw	lysate	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
500amol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_71.raw	QEKAC160601_71.raw	lysate	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
500amol_2	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_40.raw	QEKAC160601_40.raw	lysate	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
500amol_4	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_121.raw	QEKAC160601_121.raw	lysate	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
1fmol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_12.raw	QEKAC160601_12.raw	lysate	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group
1fmol_2	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_42.raw	QEKAC160601_42.raw	lysate	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group
1fmol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_73.raw	QEKAC160601_73.raw	lysate	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group
1fmol_4	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_123.raw	QEKAC160601_123.raw	lysate	CT=mixture;QY=1 fmol;CN=UPS1;CV=Standards Research Group
5fmol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_14.raw	QEKAC160601_14.raw	lysate	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group
5fmol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_75.raw	QEKAC160601_75.raw	lysate	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group
5fmol_2	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_44.raw	QEKAC160601_44.raw	lysate	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group
5fmol_4	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_125.raw	QEKAC160601_125.raw	lysate	CT=mixture;QY=5 fmol;CN=UPS1;CV=Standards Research Group
10fmol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_16.raw	QEKAC160601_16.raw	lysate	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group
10fmol_2	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_46.raw	QEKAC160601_46.raw	lysate	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group
10fmol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_77.raw	QEKAC160601_77.raw	lysate	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group
10fmol_4	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_127.raw	QEKAC160601_127.raw	lysate	CT=mixture;QY=10 fmol;CN=UPS1;CV=Standards Research Group
25fmol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_18.raw	QEKAC160601_18.raw	lysate	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group
25fmol_2	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_48.raw	QEKAC160601_48.raw	lysate	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group
25fmol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_79.raw	QEKAC160601_79.raw	lysate	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group
25fmol_4	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_129.raw	QEKAC160601_129.raw	lysate	CT=mixture;QY=25 fmol;CN=UPS1;CV=Standards Research Group
