source name	characteristics[Organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[protein_coding_gene]	characteristics[concentration of]	assay name	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	Material Type	factor value[protein_coding_gene]	factor value[concentration of]
100amol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	100 amol	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_36.raw	QEKAC160601_36.raw	lysate	UPS1	100 amol
100amol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	100 amol	run 12	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_117.raw	QEKAC160601_117.raw	lysate	UPS1	100 amol
250amol_1	Saccharomyces cerevisiae	not available	not available	not available	UPS1	250 amol	run 13	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_08.raw	QEKAC160601_08.raw	lysate	UPS1	250 amol
250amol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	250 amol	run 14	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_38.raw	QEKAC160601_38.raw	lysate	UPS1	250 amol
250amol_3	Saccharomyces cerevisiae	not available	not available	not available	UPS1	250 amol	run 15	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_69.raw	QEKAC160601_69.raw	lysate	UPS1	250 amol
250amol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	250 amol	run 16	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_119.raw	QEKAC160601_119.raw	lysate	UPS1	250 amol
500amol_1	Saccharomyces cerevisiae	not available	not available	not available	UPS1	500 amol	run 17	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_10.raw	QEKAC160601_10.raw	lysate	UPS1	500 amol
500amol_3	Saccharomyces cerevisiae	not available	not available	not available	UPS1	500 amol	run 18	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_71.raw	QEKAC160601_71.raw	lysate	UPS1	500 amol
500amol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	500 amol	run 19	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_40.raw	QEKAC160601_40.raw	lysate	UPS1	500 amol
500amol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	500 amol	run 20	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_121.raw	QEKAC160601_121.raw	lysate	UPS1	500 amol
1fmol_1	Saccharomyces cerevisiae	not available	not available	not available	UPS1	1 fmol	run 21	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_12.raw	QEKAC160601_12.raw	lysate	UPS1	1 fmol
1fmol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	1 fmol	run 22	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_42.raw	QEKAC160601_42.raw	lysate	UPS1	1 fmol
1fmol_3	Saccharomyces cerevisiae	not available	not available	not available	UPS1	1 fmol	run 23	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_73.raw	QEKAC160601_73.raw	lysate	UPS1	1 fmol
1fmol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	1 fmol	run 24	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_123.raw	QEKAC160601_123.raw	lysate	UPS1	1 fmol
5fmol_1	Saccharomyces cerevisiae	not available	not available	not available	UPS1	5 fmol	run 25	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_14.raw	QEKAC160601_14.raw	lysate	UPS1	5 fmol
5fmol_3	Saccharomyces cerevisiae	not available	not available	not available	UPS1	5 fmol	run 26	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_75.raw	QEKAC160601_75.raw	lysate	UPS1	5 fmol
5fmol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	5 fmol	run 27	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_44.raw	QEKAC160601_44.raw	lysate	UPS1	5 fmol
5fmol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	5 fmol	run 28	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_125.raw	QEKAC160601_125.raw	lysate	UPS1	5 fmol
10fmol_1	Saccharomyces cerevisiae	not available	not available	not available	UPS1	10 fmol	run 29	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_16.raw	QEKAC160601_16.raw	lysate	UPS1	10 fmol
10fmol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	10 fmol	run 30	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_46.raw	QEKAC160601_46.raw	lysate	UPS1	10 fmol
10fmol_3	Saccharomyces cerevisiae	not available	not available	not available	UPS1	10 fmol	run 31	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_77.raw	QEKAC160601_77.raw	lysate	UPS1	10 fmol
10fmol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	10 fmol	run 32	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_127.raw	QEKAC160601_127.raw	lysate	UPS1	10 fmol
25fmol_1	Saccharomyces cerevisiae	not available	not available	not available	UPS1	25 fmol	run 33	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_18.raw	QEKAC160601_18.raw	lysate	UPS1	25 fmol
25fmol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	25 fmol	run 34	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_48.raw	QEKAC160601_48.raw	lysate	UPS1	25 fmol
25fmol_3	Saccharomyces cerevisiae	not available	not available	not available	UPS1	25 fmol	run 35	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_79.raw	QEKAC160601_79.raw	lysate	UPS1	25 fmol
25fmol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	25 fmol	run 36	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_129.raw	QEKAC160601_129.raw	lysate	UPS1	25 fmol
50fmol_1	Saccharomyces cerevisiae	not available	not available	not available	UPS1	50 fmol	run 37	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_20.raw	QEKAC160601_20.raw	lysate	UPS1	50 fmol
50fmol_2	Saccharomyces cerevisiae	not available	not available	not available	UPS1	50 fmol	run 38	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_50.raw	QEKAC160601_50.raw	lysate	UPS1	50 fmol
50fmol_3	Saccharomyces cerevisiae	not available	not available	not available	UPS1	50 fmol	run 39	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_81.raw	QEKAC160601_81.raw	lysate	UPS1	50 fmol
50fmol_4	Saccharomyces cerevisiae	not available	not available	not available	UPS1	50 fmol	run 40	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_131.raw	QEKAC160601_131.raw	lysate	UPS1	50 fmol
