Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[cell type]	Characteristics[cell line]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 35	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr05.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr05.raw	5	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 36	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr06.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr06.raw	6	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 37	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr07.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr07.raw	7	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 38	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr08.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr08.raw	8	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 39	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr09.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr09.raw	9	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 40	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr10.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr10.raw	10	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 41	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr11.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr11.raw	11	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 42	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr12.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr12.raw	12	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 43	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr13.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr13.raw	13	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 44	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr14.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr14.raw	14	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 3	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	81Y	female	Caucasian	epithelial	SW948	run 45	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW948_fr15.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr15.raw	15	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	SW948
Sample 4	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	72Y	male	not available	epithelial	T84	run 46	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_T84_fr01.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr01.raw	1	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	T84
Sample 4	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	72Y	male	not available	epithelial	T84	run 47	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_T84_fr02.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr02.raw	2	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	T84
Sample 4	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	72Y	male	not available	epithelial	T84	run 48	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_T84_fr03.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr03.raw	3	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	T84
Sample 4	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	72Y	male	not available	epithelial	T84	run 49	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_T84_fr04.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr04.raw	4	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	T84
Sample 4	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	72Y	male	not available	epithelial	T84	run 50	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_T84_fr05.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr05.raw	5	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	T84
