Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[cell line]
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 11	C32TG_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 12	C32TG_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 13	C32TG_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F4.raw	4	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 14	C32TG_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F5.raw	5	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 15	C32TG_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F6.raw	6	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 16	C32TG_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F7.raw	7	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 17	C32TG_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F8.raw	8	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	run 18	C32TG_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F9.raw	9	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	C32TG
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 19	SKEML28_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKEML28_F4.raw	4	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 20	SKMEL28_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL28_F1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 21	SKMEL28_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL28_F2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 22	SKMEL28_F2a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL28_F2a.raw	8	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 23	SKMEL28_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL28_F3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 24	SKMEL28_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL28_F5.raw	5	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 25	SKMEL28_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL28_F6.raw	6	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 26	SKMEL28_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL28_F7.raw	7	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
Sample 3	Homo sapiens	skin	melanoma	SK-MEL-28	adult	malignant melanoma	not available	male	51Y	run 27	SKMEL_F3b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/SKMEL_F3b.raw	9	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	cell	SK-MEL-28
